Sydney|-33.87,151.21,63|2022-07-29T16:13:43|Sunny|14.1|1022|47
Sydney|-33.87,151.21,63|2022-07-21T12:21:24|Sunny|25.5|726.5|46.2
Sydney|-33.87,151.21,63|2022-06-21T00:17:58|Snow|-0.7|976.4|35.8
Sydney|-33.87,151.21,63|2022-07-07T22:53:22|Sunny|32.4|1174.8|85.9
Sydney|-33.87,151.21,63|2022-06-20T20:32:05|Sunny|8.6|889.9|83.9
Sydney|-33.87,151.21,63|2022-06-30T00:04:17|Rain|2.4|940.0|45.7
Sydney|-33.87,151.21,63|2022-06-17T10:39:15|Snow|-1.2|724.7|25.8
Sydney|-33.87,151.21,63|2022-06-24T23:45:56|Sunny|31.5|950.3|57.5
Sydney|-33.87,151.21,63|2022-06-29T00:24:06|Rain|5.3|945.7|27.3
Sydney|-33.87,151.21,63|2022-07-14T04:24:51|Snow|-3.2|877.6|39.5
Sydney|-33.87,151.21,63|2022-07-13T16:51:46|Sunny|32.7|786.3|84.3
Melbourne|-37.81,144.96,41|2022-07-29T16:13:45|Rain|12.2|1028|62
Melbourne|-37.81,144.96,41|2022-07-15T16:04:51|Sunny|0.9|852.0|72.2
Melbourne|-37.81,144.96,41|2022-07-23T00:22:44|Sunny|9.5|870.1|72.9
Melbourne|-37.81,144.96,41|2022-07-23T20:02:06|Rain|8.9|1073.1|71.9
Melbourne|-37.81,144.96,41|2022-06-08T13:55:06|Rain|3.7|938.4|94.3
Melbourne|-37.81,144.96,41|2022-06-22T01:16:29|Sunny|16.1|719.0|70.8
Melbourne|-37.81,144.96,41|2022-06-28T09:47:26|Sunny|18.9|1088.1|96.9
Melbourne|-37.81,144.96,41|2022-06-20T09:20:35|Sunny|33.7|1059.4|99.5
Melbourne|-37.81,144.96,41|2022-06-06T09:18:50|Rain|29.3|1083.9|100.0
Melbourne|-37.81,144.96,41|2022-06-22T22:59:13|Rain|22.8|702.6|31.7
Melbourne|-37.81,144.96,41|2022-07-13T03:39:24|Rain|13.9|1101.9|45.9
Brisbane|-27.47,153.02,96|2022-07-29T16:13:46|Rain|21.0|1019|41
Brisbane|-27.47,153.02,96|2022-07-27T03:28:11|Sunny|10.2|1175.6|60.1
Brisbane|-27.47,153.02,96|2022-07-27T21:26:36|Sunny|26.8|775.8|87.9
Brisbane|-27.47,153.02,96|2022-07-05T21:47:42|Rain|25.0|1001.9|89.0
Brisbane|-27.47,153.02,96|2022-06-16T16:51:00|Sunny|12.8|812.6|55.2
Brisbane|-27.47,153.02,96|2022-06-11T22:46:22|Sunny|0.6|1107.0|75.2
Brisbane|-27.47,153.02,96|2022-07-06T11:03:55|Sunny|17.6|1120.1|90.3
Brisbane|-27.47,153.02,96|2022-06-07T08:29:47|Rain|17.6|703.3|48.7
Brisbane|-27.47,153.02,96|2022-06-09T05:28:50|Snow|-1.1|883.2|55.6
Brisbane|-27.47,153.02,96|2022-06-05T06:54:43|Sunny|18.0|1107.8|25.9
Brisbane|-27.47,153.02,96|2022-06-04T00:47:03|Sunny|34.3|855.6|21.3
Canberra|-35.3,149.1,79|2022-07-29T16:13:48|Rain|11.2|1025|50
Canberra|-35.3,149.1,79|2022-06-20T06:06:00|Snow|-1.8|1002.2|98.1
Canberra|-35.3,149.1,79|2022-06-08T01:07:43|Rain|13.7|758.5|60.2
Canberra|-35.3,149.1,79|2022-07-26T07:14:42|Sunny|12.3|781.4|95.9
Canberra|-35.3,149.1,79|2022-07-17T08:31:39|Sunny|36.8|842.6|40.1
Canberra|-35.3,149.1,79|2022-07-18T09:24:59|Sunny|35.6|712.9|87.6
Canberra|-35.3,149.1,79|2022-07-24T21:28:51|Sunny|22.1|919.2|20.6
Canberra|-35.3,149.1,79|2022-06-03T10:13:17|Sunny|34.9|734.8|71.3
Canberra|-35.3,149.1,79|2022-06-20T06:23:47|Sunny|20.6|1168.5|92.7
Canberra|-35.3,149.1,79|2022-06-10T22:58:58|Sunny|39.0|838.6|30.3
Canberra|-35.3,149.1,79|2022-07-09T22:25:06|Sunny|12.0|1159.5|37.6
Perth|-31.96,115.86,56|2022-07-29T16:13:50|Rain|18.7|1012|57
Perth|-31.96,115.86,56|2022-07-03T09:16:50|Sunny|12.2|885.1|93.8
Perth|-31.96,115.86,56|2022-07-23T17:25:57|Sunny|37.5|826.2|96.5
Perth|-31.96,115.86,56|2022-07-03T19:10:38|Sunny|35.2|1138.0|81.7
Perth|-31.96,115.86,56|2022-06-03T12:02:14|Rain|3.5|1152.1|29.7
Perth|-31.96,115.86,56|2022-06-27T03:40:03|Sunny|2.5|899.4|29.0
Perth|-31.96,115.86,56|2022-07-24T23:39:58|Sunny|27.4|867.3|77.0
Perth|-31.96,115.86,56|2022-07-07T21:24:53|Rain|14.7|1019.0|71.9
Perth|-31.96,115.86,56|2022-07-22T16:38:14|Sunny|29.0|753.2|50.3
Perth|-31.96,115.86,56|2022-06-25T05:53:13|Rain|3.8|776.6|72.6
Perth|-31.96,115.86,56|2022-07-27T21:41:16|Sunny|20.1|877.7|72.3
Adelaide|-34.93,138.6,81|2022-07-29T16:13:52|Rain|15.3|1023|58
Adelaide|-34.93,138.6,81|2022-06-11T02:45:16|Sunny|37.4|764.9|76.2
Adelaide|-34.93,138.6,81|2022-06-29T01:54:12|Rain|25.9|1144.9|58.5
Adelaide|-34.93,138.6,81|2022-07-22T04:26:47|Sunny|19.7|1046.2|57.4
Adelaide|-34.93,138.6,81|2022-07-01T02:28:43|Rain|29.2|1123.2|80.5
Adelaide|-34.93,138.6,81|2022-07-27T15:45:44|Rain|18.1|1077.7|93.5
Adelaide|-34.93,138.6,81|2022-07-21T15:49:21|Sunny|34.3|806.6|70.7
Adelaide|-34.93,138.6,81|2022-07-06T19:26:15|Sunny|31.9|924.7|53.0
Adelaide|-34.93,138.6,81|2022-06-07T13:59:25|Rain|9.1|815.4|35.7
Adelaide|-34.93,138.6,81|2022-07-18T16:48:40|Rain|11.2|873.5|54.7
Adelaide|-34.93,138.6,81|2022-07-26T13:38:48|Rain|28.0|1184.9|67.5
Hobart|-42.88,147.33,28|2022-07-29T16:13:54|Sunny|9.2|1020|67
Hobart|-42.88,147.33,28|2022-06-06T01:47:51|Snow|-2.3|773.6|79.4
Hobart|-42.88,147.33,28|2022-07-28T00:48:38|Sunny|15.6|825.5|41.6
Hobart|-42.88,147.33,28|2022-07-22T04:59:58|Sunny|39.5|749.5|42.4
Hobart|-42.88,147.33,28|2022-07-28T11:20:06|Sunny|4.3|1021.4|50.0
Hobart|-42.88,147.33,28|2022-07-25T16:50:13|Rain|11.7|971.5|65.7
Hobart|-42.88,147.33,28|2022-07-12T10:03:17|Sunny|31.2|1088.9|87.4
Hobart|-42.88,147.33,28|2022-06-11T04:11:36|Snow|-3.7|961.2|66.5
Hobart|-42.88,147.33,28|2022-06-04T11:19:24|Sunny|16.5|995.5|53.8
Hobart|-42.88,147.33,28|2022-07-12T04:25:41|Rain|26.3|1056.5|69.0
Hobart|-42.88,147.33,28|2022-07-23T21:44:19|Snow|-0.4|741.2|69.0
Darwin|-12.46,130.84,55|2022-07-29T16:13:56|Sunny|30.1|1010|39
